provider_id,value
100014, 1.012154
100018, 1.012036
100019, 1.045896
100022, 1.040576
100025, 1.022821
100026, 1.058427
100029, 1.127368
100030, 1.044135
100032, 1.072095
100035, 1.083845
100038, 1.070467
100040, 1.012547
100043, 1.071346
100044, 1.051673
100046,  .995793
100047, 1.054178
100048,  .912105
100050, 1.118725
100051, 1.005308
100053, 1.092302
100054,  .915403
100055, 1.063474
100062, 1.048597
100063, 1.093152
100068, 1.033247
100069, 1.052495
100070, 1.034782
100072, 1.054230
10001,  .999877
10005,  .983838
10006,  .987106
10007, 1.091527
10008, 1.048925
10011, 1.018878
10012, 1.002975
10016, 1.038660
10018,
10019, 1.036255
10021,  .997852
10022,  .957417
10023, 1.028851
10024, 1.017859
10029,  .895810
10032,  .920650
10033,  .962895
10034,  .935007
10035,  .966526
10036,  .938072
10038,  .979949
10039, 1.008153
10040, 1.030779
10044,  .899546
10045,  .939466
10046,  .971895
10047,  .931721
10049, 1.008107
10051,  .926167
10052,  .913665
10055, 1.020101
10056, 1.051588
10058, 1.054940
10059,  .875646
10061,  .956735
10062,  .978000
10065,  .994182
10069,  .998593
10073, 1.027543
10078, 1.002898
10079,  .921274
10083,  .979414
10085,  .973507
10086,  .996362
10087,  .966342
10089,  .968880
10090,  .978250
10091,  .988932
10092,  .993068
10095, 1.026289
10097,  .967004
10099, 1.020358
10100,  .957383
10101,  .997603
10102,  .980839
10103, 1.009932
10104, 1.006347
10108,  .942388
10109,  .836889
10110, 1.052041
10112, 1.036367
10113,  .974258
10114,  .983008
10118,  .945833
10125,  .879434
10126,  .986293
10128,  .928402
10130,  .851080
10131,  .970306
10138, 1.081071
10144,  .959491
10146, 1.133463
10149,  .937120
10150,  .955890
10157, 1.094021
10164, 1.013786
10168,  .974242
20001,  .905135
20006,  .802409
20008,  .898359
20017,  .889942
20018,  .774963
20024,  .874852
30001,  .929936
30002,  .972999
30007,  .939852
30010,  .982765
30011, 1.010589
110001,  .939956
110002,  .965030
110003,  .949470
110004,  .952004
110005,  .954110
110006,  .999612
110008, 1.013475
110010,  .964656
110011, 1.021219
110016,  .939893
110018,  .999883
110024, 1.049994
110025,  .946660
110026,  .951270
110028,  .986835
110029,  .922171
110030,  .957000
110032,  .944798
110034, 1.023545
110036,  .980356
110038,  .995163
110039,  .969010
110041,  .950566
110042,  .894618
110044,  .905872
110045,  .942267
110046,  .979690
50758, 1.140129
50760,  .771737
50761, 1.026834
50763, 1.461380
50764,  .917183
50765,  .997851
50766,  .913472
50767,  .811426
50769,  .949939
50770,  .989280
50771, 1.196381
50772,  .782878
50773, 1.020756
50775,  .932183
50776, 1.148648
50777,  .840205
50778,
50779,  .868687
50780,
60001, 1.019962
60003, 1.019965
60004,  .948799
60006,  .994112
60008,  .990833
60009,  .940339
60010,  .927043
60011,  .951771
60012, 1.017752
60013,  .964283
60014, 1.042212
60015, 1.009523
60016,  .895807
60020,  .973952
60022, 1.033920
60023,  .973254
60024,  .974670
60027,  .951764
